Horizon,Num_Steps,Time_Mean,Time_Std,Volume_Mean,Volume_Std,Speedup_vs_Concrete,Slowdown_vs_SingleSymbolic
8,3,0.21302852630615235,0.0007028454937338477,0.0041095773,4.656613e-10,0.47442010488117375,0.2171892633967686
8,5,0.19060516357421875,0.00045668586864226366,0.004980066,4.656613e-10,0.5302323079694192,0.19432794186826982
9,1,1.2571760654449462,0.04316280213021241,0.0024788713,0.0,0.09065709085183847,1.0068071167976416
9,2,0.4819578886032104,0.002361634617908473,0.004117445,0.0,0.2364769360080563,0.3859750798474985
9,3,0.38313257694244385,0.00120871862196354,0.0044358866,0.0,0.29747385537231613,0.3068310125727291
9,5,0.3128010034561157,0.0427124059074827,0.0057176454,0.0,0.36435920448634035,0.250506102587627
10,1,1.5594451665878295,0.04334435602811894,0.0038443387,2.3283064e-10,0.0816340589957438,1.005757081876673
10,2,0.762371301651001,0.04338005393155466,0.0052308547,0.0,0.16698403842611545,0.4916879106001236
10,3,0.396645188331604,0.0017257472623995083,0.0079912525,0.0,0.3209514257952617,0.2558145138438565
10,5,0.269063925743103,0.004071193742617299,0.009279957,0.0,0.4731360340419831,0.1735315576281431
11,1,1.8943191051483155,0.043879083939907866,0.0044666966,4.656613e-10,0.0737438357342638,0.9973219477199388
11,2,0.7822224855422973,0.04569386051066968,0.008241969,9.313226e-10,0.17858647571539443,0.4118248349558274
11,3,0.440291690826416,0.001153328700943182,0.010616735,0.0,0.31727684130520906,0.23180496119502847
11,5,0.2800548315048218,0.0009310736652392784,0.014337522,9.313226e-10,0.49881073705357515,0.1474433896937866
12,1,2.1685476779937742,0.047951246151334684,0.0036147474,2.3283064e-10,0.0728265284768652,0.9963266407513938
12,2,1.0733549833297729,0.04576208909705215,0.0061021037,0.0,0.1471347333152805,0.4931467155308683
12,3,0.6850297212600708,0.0015216997757582819,0.008206772,9.313226e-10,0.2305415288176911,0.31473292836675615
12,5,0.31183819770812987,0.0005054926267208002,0.016118662,0.0,0.5064414827482702,0.14327224950292378
13,1,2.5904311895370484,0.0791734412463803,0.0031383554,2.3283064e-10,0.061578118525832885,1.0119237345178793
13,2,1.0749504804611205,0.0012253471714532376,0.0072316676,0.0,0.14839183917932677,0.4199176990315683
13,3,0.7012622356414795,0.001962295079527655,0.009942047,0.0,0.22746680302328182,0.27394045564032304
13,5,0.38620195388793943,0.0009150499176890202,0.016111908,0.0,0.4130322936393307,0.15086558756506827
14,1,2.991383266448975,0.07517662599839534,0.0029508586,0.0,0.05758905709826148,0.998102036163758
14,2,1.4792487382888795,0.052282275678153446,0.005680834,4.656613e-10,0.11645840031852135,0.493564697723091
14,3,0.7425776720046997,0.0008229407946803248,0.011835692,0.0,0.231990468107185,0.24776774502635485
14,5,0.49223077297210693,0.0012143337810564979,0.015835283,0.0,0.34998003211813816,0.1642372417724764
15,1,3.460918927192688,0.08776345493507745,0.0029511596,0.0,0.05348712355547317,1.0043798574823128
15,2,1.4885851860046386,0.0015996303735867142,0.008080432,0.0,0.1243560664277994,0.4319965328348128
15,3,1.126808261871338,0.05603327665381139,0.0096112555,0.0,0.16428225150462009,0.3270066549597672
15,5,0.6278888463974,0.001874202712157845,0.01797792,0.0,0.2948206507192345,0.18221718662762634
16,1,3.9255104303359984,0.08048166915781428,0.003171061,0.0,0.05082380035581518,0.9977985965392376
16,2,1.9560898065567016,0.060482449688526875,0.00690201,4.656613e-10,0.10199396660486798,0.4972050637297442
16,3,1.1442872762680054,0.060655175558428046,0.015742356,1.8626451e-09,0.1743525096746243,0.29085854147130485
16,5,0.6428911447525024,0.0015722800412072099,0.029225493,1.8626451e-09,0.3103314768519221,0.1634120946423379
17,1,4.471304535865784,0.10566431680364136,0.00325916,2.3283064e-10,0.04676513324976543,1.0043075526879213
17,2,1.9905778646469117,0.06486621724539,0.011247547,0.0,0.10504545244560644,0.44710718485901335
17,3,1.173318338394165,0.0020150038757556295,0.021567257,0.0,0.17821348697764786,0.2635410895197127
17,5,0.6874223470687866,0.0046410616336657945,0.040006436,3.7252903e-09,0.30418148800612144,0.15440313884009696
18,1,5.034796571731567,0.10896931845573457,0.003797813,2.3283064e-10,0.04422296870693879,1.00417302952987
18,2,2.541539216041565,0.09465231160113616,0.009593604,0.0,0.08760582950369335,0.5069013410731896
18,3,1.6378109931945801,0.0022687149987126055,0.017919706,0.0,0.13594587663818142,0.3266558247988757
18,5,0.7667351484298706,0.000958095441669199,0.05423344,0.0,0.2903918669874997,0.15292271413084357
19,1,5.61904547214508,0.12019760683247281,0.0041665575,4.656613e-10,0.04205615389714545,1.0006861379078429
19,2,2.5517921447753906,0.07966889043043532,0.018709604,0.0,0.0926076371915442,0.4544442714972437
19,3,1.6646427869796754,0.004000981183084933,0.033377733,0.0,0.14196165266204774,0.29645336912764353
19,5,0.8743187189102173,0.002359738841308077,0.066939816,0.0,0.27028523583041203,0.15570591597166708
20,1,6.237724828720093,0.12785481915464023,0.004453271,0.0,0.039590566711410154,1.0001793661643437
20,2,3.1385789632797243,0.08215571756818923,0.014323369,0.0,0.07868371764679179,0.5032511058673892
20,3,1.7383488893508912,0.0823493830834905,0.050088715,3.7252903e-09,0.14206300154802448,0.2787331499969706
20,5,1.1787179231643676,0.0021182897557565105,0.066608235,0.0,0.20951158551648272,0.18899989622001184
