Horizon,Method,Trial,Time,Volume,Num_Steps
11,Symbolic_Single,7,1.867915391921997,0.004466696,
11,Symbolic_Single,8,1.8766024112701416,0.004466696,
11,Symbolic_Single,9,2.038628339767456,0.004466696,
12,Symbolic_Single,0,2.069739818572998,0.0036147477,
12,Symbolic_Single,1,2.203765869140625,0.0036147477,
12,Symbolic_Single,2,2.135152578353882,0.0036147477,
12,Symbolic_Single,3,2.306602716445923,0.0036147477,
12,Symbolic_Single,4,2.1474857330322266,0.0036147477,
12,Symbolic_Single,5,2.1553828716278076,0.0036147477,
12,Symbolic_Single,6,2.144383192062378,0.0036147477,
12,Symbolic_Single,7,2.156050682067871,0.0036147477,
12,Symbolic_Single,8,2.1469461917877197,0.0036147477,
12,Symbolic_Single,9,2.299919366836548,0.0036147477,
13,Symbolic_Single,0,2.5925023555755615,0.0031383557,
13,Symbolic_Single,1,2.6018569469451904,0.0031383557,
13,Symbolic_Single,2,2.5118014812469482,0.0031383557,
13,Symbolic_Single,3,2.5263512134552,0.0031383557,
13,Symbolic_Single,4,2.535529613494873,0.0031383557,
13,Symbolic_Single,5,2.700044631958008,0.0031383557,
13,Symbolic_Single,6,2.525815486907959,0.0031383557,
13,Symbolic_Single,7,2.5380375385284424,0.0031383557,
13,Symbolic_Single,8,2.527073383331299,0.0031383557,
13,Symbolic_Single,9,2.540062665939331,0.0031383557,
14,Symbolic_Single,0,2.9918904304504395,0.0029508586,
14,Symbolic_Single,1,3.0376336574554443,0.0029508586,
14,Symbolic_Single,2,2.9340391159057617,0.0029508586,
14,Symbolic_Single,3,2.943239450454712,0.0029508586,
14,Symbolic_Single,4,3.125135660171509,0.0029508586,
14,Symbolic_Single,5,2.953664779663086,0.0029508586,
14,Symbolic_Single,6,2.9404115676879883,0.0029508586,
14,Symbolic_Single,7,2.959979295730591,0.0029508586,
14,Symbolic_Single,8,3.126032829284668,0.0029508586,
14,Symbolic_Single,9,2.9586892127990723,0.0029508586,
15,Symbolic_Single,0,3.4295761585235596,0.0029511596,
15,Symbolic_Single,1,3.4916832447052,0.0029511596,
15,Symbolic_Single,2,3.3732917308807373,0.0029511596,
15,Symbolic_Single,3,3.389803171157837,0.0029511596,
15,Symbolic_Single,4,3.588857412338257,0.0029511596,
15,Symbolic_Single,5,3.4167323112487793,0.0029511596,
15,Symbolic_Single,6,3.385453462600708,0.0029511596,
15,Symbolic_Single,7,3.3960025310516357,0.0029511596,
15,Symbolic_Single,8,3.579669237136841,0.0029511596,
15,Symbolic_Single,9,3.4071977138519287,0.0029511596,
16,Symbolic_Single,0,3.711329221725464,0.003171061,
16,Symbolic_Single,1,4.2055840492248535,0.003171061,
16,Symbolic_Single,2,3.8522894382476807,0.003171061,
16,Symbolic_Single,3,3.879657506942749,0.003171061,
16,Symbolic_Single,4,3.887622356414795,0.003171061,
16,Symbolic_Single,5,4.097890853881836,0.003171061,
16,Symbolic_Single,6,3.8779914379119873,0.003171061,
16,Symbolic_Single,7,3.8777031898498535,0.003171061,
16,Symbolic_Single,8,3.8727149963378906,0.003171061,
16,Symbolic_Single,9,4.078928232192993,0.003171061,
17,Symbolic_Single,0,4.191429376602173,0.0032591599,
17,Symbolic_Single,1,4.751021862030029,0.0032591599,
17,Symbolic_Single,2,4.36729884147644,0.0032591599,
17,Symbolic_Single,3,4.382313251495361,0.0032591599,
17,Symbolic_Single,4,4.404355764389038,0.0032591599,
17,Symbolic_Single,5,4.622596502304077,0.0032591599,
17,Symbolic_Single,6,4.395349740982056,0.0032591599,
17,Symbolic_Single,7,4.393096208572388,0.0032591599,
17,Symbolic_Single,8,4.619690179824829,0.0032591599,
17,Symbolic_Single,9,4.394115924835205,0.0032591599,
18,Symbolic_Single,0,4.950439929962158,0.0037978129,
18,Symbolic_Single,1,5.111814022064209,0.0037978129,
18,Symbolic_Single,2,4.915421485900879,0.0037978129,
18,Symbolic_Single,3,5.184533357620239,0.0037978129,
18,Symbolic_Single,4,4.960342168807983,0.0037978129,
18,Symbolic_Single,5,4.957270383834839,0.0037978129,
18,Symbolic_Single,6,5.1881489753723145,0.0037978129,
18,Symbolic_Single,7,4.968755722045898,0.0037978129,
18,Symbolic_Single,8,4.9473326206207275,0.0037978129,
18,Symbolic_Single,9,4.954676628112793,0.0037978129,
19,Symbolic_Single,0,5.501768350601196,0.004166557,
19,Symbolic_Single,1,5.695157766342163,0.004166557,
19,Symbolic_Single,2,5.4937872886657715,0.004166557,
19,Symbolic_Single,3,5.765865087509155,0.004166557,
19,Symbolic_Single,4,5.5398430824279785,0.004166557,
19,Symbolic_Single,5,5.541984796524048,0.004166557,
19,Symbolic_Single,6,5.76154637336731,0.004166557,
19,Symbolic_Single,7,5.5230395793914795,0.004166557,
19,Symbolic_Single,8,5.52953577041626,0.004166557,
19,Symbolic_Single,9,5.79939866065979,0.004166557,
20,Symbolic_Single,0,6.092120170593262,0.004453271,
20,Symbolic_Single,1,6.346766471862793,0.004453271,
20,Symbolic_Single,2,6.394557476043701,0.004453271,
20,Symbolic_Single,3,6.131060600280762,0.004453271,
20,Symbolic_Single,4,6.1586949825286865,0.004453271,
20,Symbolic_Single,5,6.154959440231323,0.004453271,
20,Symbolic_Single,6,6.384601831436157,0.004453271,
20,Symbolic_Single,7,6.137232542037964,0.004453271,
20,Symbolic_Single,8,6.138622283935547,0.004453271,
20,Symbolic_Single,9,6.427446126937866,0.004453271,
2,Symbolic_1Step,0,0.05184626579284668,0.0038496545,1.0
2,Symbolic_1Step,1,0.05190324783325195,0.0038496545,1.0
2,Symbolic_1Step,2,0.051868438720703125,0.0038496545,1.0
2,Symbolic_1Step,3,0.0527193546295166,0.0038496545,1.0
2,Symbolic_1Step,4,0.052446603775024414,0.0038496545,1.0
2,Symbolic_1Step,5,0.05180931091308594,0.0038496545,1.0
2,Symbolic_1Step,6,0.05167365074157715,0.0038496545,1.0
2,Symbolic_1Step,7,0.05174684524536133,0.0038496545,1.0
2,Symbolic_1Step,8,0.05185985565185547,0.0038496545,1.0
2,Symbolic_1Step,9,0.05185580253601074,0.0038496545,1.0
3,Symbolic_1Step,0,0.12386679649353027,0.003717497,1.0
3,Symbolic_1Step,1,0.1232144832611084,0.003717497,1.0
3,Symbolic_1Step,2,0.12324166297912598,0.003717497,1.0
3,Symbolic_1Step,3,0.12366485595703125,0.003717497,1.0
3,Symbolic_1Step,4,0.12575626373291016,0.003717497,1.0
3,Symbolic_1Step,5,0.12353181838989258,0.003717497,1.0
3,Symbolic_1Step,6,0.12323236465454102,0.003717497,1.0
3,Symbolic_1Step,7,0.12323379516601562,0.003717497,1.0
3,Symbolic_1Step,8,0.12366986274719238,0.003717497,1.0
3,Symbolic_1Step,9,0.12321090698242188,0.003717497,1.0
3,Symbolic_2Step,0,0.037552833557128906,0.0045685857,2.0
3,Symbolic_2Step,1,0.03739142417907715,0.0045685857,2.0
3,Symbolic_2Step,2,0.03750753402709961,0.0045685857,2.0
3,Symbolic_2Step,3,0.03745841979980469,0.0045685857,2.0
3,Symbolic_2Step,4,0.03737759590148926,0.0045685857,2.0
3,Symbolic_2Step,5,0.03762936592102051,0.0045685857,2.0
3,Symbolic_2Step,6,0.03752779960632324,0.0045685857,2.0
3,Symbolic_2Step,7,0.037397146224975586,0.0045685857,2.0
3,Symbolic_2Step,8,0.03736281394958496,0.0045685857,2.0
3,Symbolic_2Step,9,0.037427425384521484,0.0045685857,2.0
4,Symbolic_1Step,0,0.22742915153503418,0.0027545558,1.0
4,Symbolic_1Step,1,0.2273387908935547,0.0027545558,1.0
4,Symbolic_1Step,2,0.22742128372192383,0.0027545558,1.0
4,Symbolic_1Step,3,0.2283153533935547,0.0027545558,1.0
4,Symbolic_1Step,4,0.22727441787719727,0.0027545558,1.0
4,Symbolic_1Step,5,0.2277693748474121,0.0027545558,1.0
4,Symbolic_1Step,6,0.2273702621459961,0.0027545558,1.0
4,Symbolic_1Step,7,0.2276630401611328,0.0027545558,1.0
4,Symbolic_1Step,8,0.22736263275146484,0.0027545558,1.0
4,Symbolic_1Step,9,0.22737836837768555,0.0027545558,1.0
4,Symbolic_2Step,0,0.10488367080688477,0.0036743737,2.0
4,Symbolic_2Step,1,0.10443854331970215,0.0036743737,2.0
4,Symbolic_2Step,2,0.10459542274475098,0.0036743737,2.0
4,Symbolic_2Step,3,0.10443687438964844,0.0036743737,2.0
4,Symbolic_2Step,4,0.10453009605407715,0.0036743737,2.0
4,Symbolic_2Step,5,0.10454106330871582,0.0036743737,2.0
4,Symbolic_2Step,6,0.10436677932739258,0.0036743737,2.0
4,Symbolic_2Step,7,0.10442328453063965,0.0036743737,2.0
4,Symbolic_2Step,8,0.10446882247924805,0.0036743737,2.0
4,Symbolic_2Step,9,0.10447144508361816,0.0036743737,2.0
4,Symbolic_3Step,0,0.05020713806152344,0.0043585305,3.0
4,Symbolic_3Step,1,0.050043582916259766,0.0043585305,3.0
4,Symbolic_3Step,2,0.04999518394470215,0.0043585305,3.0
4,Symbolic_3Step,3,0.04993176460266113,0.0043585305,3.0
4,Symbolic_3Step,4,0.05000615119934082,0.0043585305,3.0
4,Symbolic_3Step,5,0.050312042236328125,0.0043585305,3.0
4,Symbolic_3Step,6,0.05009770393371582,0.0043585305,3.0
4,Symbolic_3Step,7,0.050084590911865234,0.0043585305,3.0
4,Symbolic_3Step,8,0.05008077621459961,0.0043585305,3.0
4,Symbolic_3Step,9,0.0500638484954834,0.0043585305,3.0
5,Symbolic_1Step,0,0.49527692794799805,0.0022055656,1.0
5,Symbolic_1Step,1,0.36685991287231445,0.0022055656,1.0
5,Symbolic_1Step,2,0.3657724857330322,0.0022055656,1.0
5,Symbolic_1Step,3,0.3663945198059082,0.0022055656,1.0
5,Symbolic_1Step,4,0.3652632236480713,0.0022055656,1.0
5,Symbolic_1Step,5,0.36495375633239746,0.0022055656,1.0
5,Symbolic_1Step,6,0.3655555248260498,0.0022055656,1.0
5,Symbolic_1Step,7,0.3686034679412842,0.0022055656,1.0
5,Symbolic_1Step,8,0.3658590316772461,0.0022055656,1.0
5,Symbolic_1Step,9,0.3658261299133301,0.0022055656,1.0
5,Symbolic_2Step,0,0.11828923225402832,0.0039401567,2.0
5,Symbolic_2Step,1,0.11774015426635742,0.0039401567,2.0
5,Symbolic_2Step,2,0.1176302433013916,0.0039401567,2.0
5,Symbolic_2Step,3,0.11786746978759766,0.0039401567,2.0
5,Symbolic_2Step,4,0.11801552772521973,0.0039401567,2.0
5,Symbolic_2Step,5,0.11797666549682617,0.0039401567,2.0
5,Symbolic_2Step,6,0.11910271644592285,0.0039401567,2.0
5,Symbolic_2Step,7,0.11791872978210449,0.0039401567,2.0
5,Symbolic_2Step,8,0.1179044246673584,0.0039401567,2.0
5,Symbolic_2Step,9,0.11790585517883301,0.0039401567,2.0
5,Symbolic_3Step,0,0.09070086479187012,0.004280623,3.0
5,Symbolic_3Step,1,0.09089875221252441,0.004280623,3.0
5,Symbolic_3Step,2,0.09070539474487305,0.004280623,3.0
5,Symbolic_3Step,3,0.09060025215148926,0.004280623,3.0
5,Symbolic_3Step,4,0.09090852737426758,0.004280623,3.0
5,Symbolic_3Step,5,0.09169363975524902,0.004280623,3.0
5,Symbolic_3Step,6,0.09120702743530273,0.004280623,3.0
5,Symbolic_3Step,7,0.09068965911865234,0.004280623,3.0
5,Symbolic_3Step,8,0.0906522274017334,0.004280623,3.0
5,Symbolic_3Step,9,0.09076833724975586,0.004280623,3.0
6,Symbolic_1Step,0,0.5343351364135742,0.001528975,1.0
6,Symbolic_1Step,1,0.5339176654815674,0.001528975,1.0
6,Symbolic_1Step,2,0.5338876247406006,0.001528975,1.0
6,Symbolic_1Step,3,0.5338137149810791,0.001528975,1.0
